,"-, clemscore","all, Average % Played","all, Average Quality Score","escape_room, % Played","escape_room, Quality Score","escape_room, Quality Score (std)"
InternVL3-14B-t0.0--InternVL3-14B-t0.0,14.92,100.0,14.92,100.0,14.92,34.45
InternVL3-2B-t0.0--InternVL3-2B-t0.0,0.0,94.0,0.0,94.0,0.0,0.0
InternVL3-38B-t0.0--InternVL3-38B-t0.0,23.09,100.0,23.09,100.0,23.09,41.03
InternVL3-8B-t0.0--InternVL3-8B-t0.0,0.0,40.0,0.0,40.0,0.0,0.0
