,"-, clemscore","all, Average % Played","all, Average Quality Score","escape_room, % Played","escape_room, Quality Score","escape_room, Quality Score (std)"
InternVL3-14B-t0.0--InternVL3-14B-t0.0,33.36,100.0,33.36,100.0,33.36,38.64
gpt-4o-mini-2024-07-18-t0.0--gpt-4o-mini-2024-07-18-t0.0,28.89,100.0,28.89,100.0,28.89,42.04
