,"-, clemscore","all, Average % Played","all, Average Quality Score","escape_room, % Played","escape_room, Quality Score","escape_room, Quality Score (std)"
InternVL3-14B-t0.0--InternVL3-14B-t0.0,12.36,100.0,12.36,100.0,12.36,31.9
InternVL3-38B-t0.0--InternVL3-38B-t0.0,9.07,100.0,9.07,100.0,9.07,28.7
InternVL3-78B-t0.0--InternVL3-78B-t0.0,3.33,99.17,3.36,99.17,3.36,18.1
o4-mini-t0.0--o4-mini-t0.0,52.82,100.0,52.82,100.0,52.82,48.25
